	annus	mes	observaciones	codigo	 titulo	 unidad	 fuente	 notas	fecha	valor
138	1975	7	                1763,30000						7/1975	1763.3
139	1975	8	                1620,90000						8/1975	1620.9
140	1975	9	                1823,60000						9/1975	1823.6
141	1975	10	                2005,60000						10/1975	2005.6
142	1975	11	                1671,80000						11/1975	1671.8
143	1975	12	                1549,90000						12/1975	1549.9
144	1976	1	                1527,00000						1/1976	1527.0
145	1976	2	                1539,00000						2/1976	1539.0
146	1976	3	                2006,00000						3/1976	2006.0
147	1976	4	                1789,00000						4/1976	1789.0
148	1976	5	                1854,00000						5/1976	1854.0
149	1976	6	                1783,00000						6/1976	1783.0
150	1976	7	                1897,00000						7/1976	1897.0
151	1976	8	                1742,00000						8/1976	1742.0
152	1976	9	                1868,00000						9/1976	1868.0
153	1976	10	                1810,00000						10/1976	1810.0
154	1976	11	                1842,00000						11/1976	1842.0
155	1976	12	                1636,00000						12/1976	1636.0
156	1977	1	                1491,00000						1/1977	1491.0
157	1977	2	                1649,00000						2/1977	1649.0
158	1977	3	                2047,00000						3/1977	2047.0
159	1977	4	                1738,00000						4/1977	1738.0
160	1977	5	                1970,00000						5/1977	1970.0
161	1977	6	                1919,00000						6/1977	1919.0
162	1977	7	                1765,00000						7/1977	1765.0
163	1977	8	                1829,00000						8/1977	1829.0
164	1977	9	                1957,00000						9/1977	1957.0
165	1977	10	                1832,00000						10/1977	1832.0
166	1977	11	                1915,00000						11/1977	1915.0
167	1977	12	                1598,00000						12/1977	1598.0
168	1978	1	                1672,00000						1/1978	1672.0
169	1978	2	                1671,00000						2/1978	1671.0
170	1978	3	                1818,00000						3/1978	1818.0
171	1978	4	                1872,00000						4/1978	1872.0
172	1978	5	                1930,00000						5/1978	1930.0
173	1978	6	                2072,00000						6/1978	2072.0
174	1978	7	                1861,00000						7/1978	1861.0
175	1978	8	                1847,00000						8/1978	1847.0
176	1978	9	                1944,00000						9/1978	1944.0
177	1978	10	                1974,00000						10/1978	1974.0
178	1978	11	                1976,00000						11/1978	1976.0
179	1978	12	                1391,00000						12/1978	1391.0
180	1979	1	                1596,00000						1/1979	1596.0
181	1979	2	                1573,00000						2/1979	1573.0
182	1979	3	                1840,00000						3/1979	1840.0
183	1979	4	                1684,00000						4/1979	1684.0
184	1979	5	                1999,00000						5/1979	1999.0
185	1979	6	                1829,00000						6/1979	1829.0
186	1979	7	                1869,00000						7/1979	1869.0
187	1979	8	                1703,00000						8/1979	1703.0
188	1979	9	                1674,00000						9/1979	1674.0
189	1979	10	                1788,00000						10/1979	1788.0
190	1979	11	                1774,00000						11/1979	1774.0
191	1979	12	                1444,00000						12/1979	1444.0
192	1980	1	                1637,00000						1/1980	1637.0
193	1980	2	                1656,00000						2/1980	1656.0
194	1980	3	                1691,00000						3/1980	1691.0
195	1980	4	                1670,00000						4/1980	1670.0
196	1980	5	                1748,00000						5/1980	1748.0
197	1980	6	                1659,00000						6/1980	1659.0
198	1980	7	                1830,00000						7/1980	1830.0
199	1980	8	                1466,00000						8/1980	1466.0
200	1980	9	                1697,00000						9/1980	1697.0
201	1980	10	                1786,00000						10/1980	1786.0
202	1980	11	                1559,00000						11/1980	1559.0
203	1980	12	                1326,00000						12/1980	1326.0
204	1981	1	                1344,00000						1/1981	1344.0
205	1981	2	                1456,00000						2/1981	1456.0
206	1981	3	                1776,00000						3/1981	1776.0
207	1981	4	                1455,00000						4/1981	1455.0
208	1981	5	                1584,00000						5/1981	1584.0
209	1981	6	                1615,00000						6/1981	1615.0
210	1981	7	                1734,00000						7/1981	1734.0
211	1981	8	                1474,00000						8/1981	1474.0
212	1981	9	                1568,00000						9/1981	1568.0
213	1981	10	                1581,00000						10/1981	1581.0
214	1981	11	                1616,00000						11/1981	1616.0
215	1981	12	                1284,00000						12/1981	1284.0
216	1982	1	                1238,00000						1/1982	1238.0
217	1982	2	                1414,00000						2/1982	1414.0
218	1982	3	                1693,00000						3/1982	1693.0
219	1982	4	                1553,00000						4/1982	1553.0
220	1982	5	                1662,00000						5/1982	1662.0
221	1982	6	                1582,00000						6/1982	1582.0
222	1982	7	                1680,00000						7/1982	1680.0
223	1982	8	                1576,00000						8/1982	1576.0
224	1982	9	                1634,00000						9/1982	1634.0
225	1982	10	                1491,00000						10/1982	1491.0
226	1982	11	                1559,00000						11/1982	1559.0
227	1982	12	                1446,00000						12/1982	1446.0
228	1983	1	                1387,00000						1/1983	1387.0
229	1983	2	                1297,00000						2/1983	1297.0
230	1983	3	                1704,00000						3/1983	1704.0
231	1983	4	                1543,00000						4/1983	1543.0
232	1983	5	                1694,00000						5/1983	1694.0
233	1983	6	                1586,00000						6/1983	1586.0
234	1983	7	                1516,00000						7/1983	1516.0
235	1983	8	                1525,00000						8/1983	1525.0
236	1983	9	                1506,00000						9/1983	1506.0
237	1983	10	                1446,00000						10/1983	1446.0
238	1983	11	                1396,30000						11/1983	1396.3
239	1983	12	                1323,00000						12/1983	1323.0
240	1984	1	                1290,23000						1/1984	1290.2
241	1984	2	                1298,67000						2/1984	1298.7
242	1984	3	                1347,85000						3/1984	1347.8
243	1984	4	                1307,35000						4/1984	1307.4
244	1984	5	                1447,45000						5/1984	1447.4
245	1984	6	                1404,76000						6/1984	1404.8
246	1984	7	                1453,86000						7/1984	1453.9
247	1984	8	                1427,78000						8/1984	1427.8
248	1984	9	                1329,34000						9/1984	1329.3
249	1984	10	                1480,62000						10/1984	1480.6
250	1984	11	                1284,45000						11/1984	1284.4
251	1984	12	                1165,89000						12/1984	1165.9
252	1985	1	                1022,47000						1/1985	1022.5
253	1985	2	                1179,35000						2/1985	1179.4
254	1985	3	                1303,09000						3/1985	1303.1
255	1985	4	                1342,36000						4/1985	1342.4
256	1985	5	                1506,85000						5/1985	1506.8
257	1985	6	                1343,28000						6/1985	1343.3
258	1985	7	                1522,78000						7/1985	1522.8
259	1985	8	                1387,26000						8/1985	1387.3
260	1985	9	                1478,13000						9/1985	1478.1
261	1985	10	                1690,67000						10/1985	1690.7
262	1985	11	                1392,90000						11/1985	1392.9
263	1985	12	                1376,18000						12/1985	1376.2
264	1986	1	                1206,18000						1/1986	1206.2
265	1986	2	                1251,39000						2/1986	1251.4
266	1986	3	                1351,08000						3/1986	1351.1
267	1986	4	                1659,19000						4/1986	1659.2
268	1986	5	                1578,00000						5/1986	1578.0
269	1986	6	                1646,64000						6/1986	1646.6
270	1986	7	                1707,84000						7/1986	1707.8
271	1986	8	                1445,20000						8/1986	1445.2
272	1986	9	                1641,86000						9/1986	1641.9
273	1986	10	                1742,80000						10/1986	1742.8
274	1986	11	                1566,02000						11/1986	1566.0
275	1986	12	                1440,44000						12/1986	1440.4
276	1987	1	                1175,68000						1/1987	1175.7
277	1987	2	                1431,57000						2/1987	1431.6
278	1987	3	                1777,87000						3/1987	1777.9
279	1987	4	                1674,56000						4/1987	1674.6
280	1987	5	                1890,01000						5/1987	1890.0
281	1987	6	                1860,90000						6/1987	1860.9
282	1987	7	                1988,16000						7/1987	1988.2
283	1987	8	                1645,35000						8/1987	1645.4
284	1987	9	                1798,53000						9/1987	1798.5
285	1987	10	                1737,38000						10/1987	1737.4
286	1987	11	                1782,15000						11/1987	1782.2
287	1987	12	                1473,60000						12/1987	1473.6
288	1988	1	                1380,29000						1/1988	1380.3
289	1988	2	                1731,17000						2/1988	1731.2
290	1988	3	                2012,86000						3/1988	2012.9
291	1988	4	                1769,88000						4/1988	1769.9
292	1988	5	                2011,04000						5/1988	2011.0
293	1988	6	                2006,82000						6/1988	2006.8
294	1988	7	                1916,60000						7/1988	1916.6
295	1988	8	                1980,67000						8/1988	1980.7
296	1988	9	                2053,60000						9/1988	2053.6
297	1988	10	                1982,80000						10/1988	1982.8
298	1988	11	                2055,78000						11/1988	2055.8
299	1988	12	                1769,10000						12/1988	1769.1
300	1989	1	                1888,10000						1/1989	1888.1
301	1989	2	                1964,60000						2/1989	1964.6
302	1989	3	                2227,50000						3/1989	2227.5
303	1989	4	                2129,90000						4/1989	2129.9
304	1989	5	                2335,70000						5/1989	2335.7
305	1989	6	                2460,60000						6/1989	2460.6
306	1989	7	                2257,70000						7/1989	2257.7
307	1989	8	                2194,60000						8/1989	2194.6
308	1989	9	                2236,60000						9/1989	2236.6
309	1989	10	                2382,90000						10/1989	2382.9
310	1989	11	                2179,80000						11/1989	2179.8
311	1989	12	                1769,30000						12/1989	1769.3
312	1990	1	                2130,80000						1/1990	2130.8
313	1990	2	                2230,61100						2/1990	2230.6
314	1990	3	                2668,83000						3/1990	2668.8
315	1990	4	                2179,45100						4/1990	2179.5
316	1990	5	                2811,46400						5/1990	2811.5
317	1990	6	                2550,40800						6/1990	2550.4
318	1990	7	                2566,48400						7/1990	2566.5
319	1990	8	                2364,22600						8/1990	2364.2
320	1990	9	                2295,97400						9/1990	2296.0
321	1990	10	                2488,53600						10/1990	2488.5
322	1990	11	                2484,01600						11/1990	2484.0
323	1990	12	                1800,86600						12/1990	1800.9
324	1991	1	                2329,92700						1/1991	2329.9
325	1991	2	                2152,45700						2/1991	2152.5
326	1991	3	                2055,19500						3/1991	2055.2
327	1991	4	                2649,74500						4/1991	2649.7
328	1991	5	                2765,29400						5/1991	2765.3
329	1991	6	                2530,31600						6/1991	2530.3
330	1991	7	                2713,82500						7/1991	2713.8
331	1991	8	                2159,16100						8/1991	2159.2
332	1991	9	                2422,90300						9/1991	2422.9
333	1991	10	                2736,20900						10/1991	2736.2
334	1991	11	                2384,77600						11/1991	2384.8
335	1991	12	                1897,43500						12/1991	1897.4
336	1992	1	                2036,10500						1/1992	2036.1
337	1992	2	                2154,24100						2/1992	2154.2
338	1992	3	                2435,62600						3/1992	2435.6
339	1992	4	                2184,20800						4/1992	2184.2
340	1992	5	                2281,22000						5/1992	2281.2
341	1992	6	                2329,24000						6/1992	2329.2
342	1992	7	                2486,08300						7/1992	2486.1
343	1992	8	                1930,29400						8/1992	1930.3
344	1992	9	                2229,69600						9/1992	2229.7
345	1992	10	                2081,39000						10/1992	2081.4
346	1992	11	                2095,52400						11/1992	2095.5
347	1992	12	                1807,51500						12/1992	1807.5
348	1993	1	                1629,66400						1/1993	1629.7
349	1993	2	                1843,18800						2/1993	1843.2
350	1993	3	                2090,30500						3/1993	2090.3
351	1993	4	                1988,75800						4/1993	1988.8
352	1993	5	                1983,47200						5/1993	1983.5
353	1993	6	                2093,47800						6/1993	2093.5
354	1993	7	                2198,69900						7/1993	2198.7
355	1993	8	                1754,41700						8/1993	1754.4
356	1993	9	                1952,05600						9/1993	1952.1
357	1993	10	                1733,98400						10/1993	1734.0
358	1993	11	                1825,42400						11/1993	1825.4
359	1993	12	                1647,58200						12/1993	1647.6
360	1994	1	                1515,70400						1/1994	1515.7
361	1994	2	                1727,99200						2/1994	1728.0
362	1994	3	                2156,90600						3/1994	2156.9
363	1994	4	                2004,57300						4/1994	2004.6
364	1994	5	                2098,60500						5/1994	2098.6
365	1994	6	                2194,75100						6/1994	2194.8
366	1994	7	                2043,16100						7/1994	2043.2
367	1994	8	                2039,77900						8/1994	2039.8
368	1994	9	                2146,91700						9/1994	2146.9
369	1994	10	                2022,57700						10/1994	2022.6
370	1994	11	                2123,49600						11/1994	2123.5
371	1994	12	                1963,31600						12/1994	1963.3
372	1995	1	                1842,16000						1/1995	1842.2
373	1995	2	                1956,52500						2/1995	1956.5
374	1995	3	                2444,82200						3/1995	2444.8
375	1995	4	                2028,58000						4/1995	2028.6
376	1995	5	                2432,14800						5/1995	2432.1
377	1995	6	                2359,73600						6/1995	2359.7
378	1995	7	                2192,32200						7/1995	2192.3
379	1995	8	                2024,01300						8/1995	2024.0
380	1995	9	                2081,34100						9/1995	2081.3
381	1995	10	                2209,42500						10/1995	2209.4
382	1995	11	                2168,65600						11/1995	2168.7
383	1995	12	                1718,58900						12/1995	1718.6
384	1996	1	                1811,43300						1/1996	1811.4
385	1996	2	                1819,67700						2/1996	1819.7
386	1996	3	                2045,57600						3/1996	2045.6
387	1996	4	                2129,11500						4/1996	2129.1
388	1996	5	                2261,46600						5/1996	2261.5
389	1996	6	                2135,10700						6/1996	2135.1
390	1996	7	                2306,71200						7/1996	2306.7
391	1996	8	                2024,46400						8/1996	2024.5
392	1996	9	                2224,72000						9/1996	2224.7
393	1996	10	                2356,56000						10/1996	2356.6
394	1996	11	                2001,52500						11/1996	2001.5
395	1996	12	                1610,58800						12/1996	1610.6
396	1997	1	                1729,17600						1/1997	1729.2
397	1997	2	                1835,02500						2/1997	1835.0
398	1997	3	                2153,36400						3/1997	2153.4
399	1997	4	                2462,70200						4/1997	2462.7
400	1997	5	                2416,02900						5/1997	2416.0
401	1997	6	                2347,08000						6/1997	2347.1
402	1997	7	                2673,14400						7/1997	2673.1
403	1997	8	                2103,02000						8/1997	2103.0
404	1997	9	                2454,66400						9/1997	2454.7
405	1997	10	                2624,87600						10/1997	2624.9
406	1997	11	                2097,03300						11/1997	2097.0
407	1997	12	                1898,48500						12/1997	1898.5
408	1998	1	                1964,00400						1/1998	1964.0
409	1998	2	                2161,94400						2/1998	2161.9
410	1998	3	                2733,52300						3/1998	2733.5
411	1998	4	                2415,38600						4/1998	2415.4
412	1998	5	                2573,01400						5/1998	2573.0
413	1998	6	                2805,10300						6/1998	2805.1
414	1998	7	                3034,56300						7/1998	3034.6
415	1998	8	                2518,02000						8/1998	2518.0
416	1998	9	                2791,66700						9/1998	2791.7
417	1998	10	                2889,37000						10/1998	2889.4
418	1998	11	                2783,20500						11/1998	2783.2
419	1998	12	                2320,30000						12/1998	2320.3
420	1999	1	                2315,41100						1/1999	2315.4
421	1999	2	                2724,17700						2/1999	2724.2
422	1999	3	                3152,77400						3/1999	3152.8
423	1999	4	                2900,09500						4/1999	2900.1
424	1999	5	                3037,34500						5/1999	3037.3
425	1999	6	                3177,57800						6/1999	3177.6
426	1999	7	                3091,29500						7/1999	3091.3
427	1999	8	                2747,87400						8/1999	2747.9
428	1999	9	                3028,06000						9/1999	3028.1
429	1999	10	                2803,21900						10/1999	2803.2
430	1999	11	                3090,98200						11/1999	3091.0
431	1999	12	                2558,16300						12/1999	2558.2
432	2000	1	                2601,03900						1/2000	2601.0
433	2000	2	                3167,38800						2/2000	3167.4
434	2000	3	                3612,25400						3/2000	3612.3
435	2000	4	                2765,35200						4/2000	2765.4
436	2000	5	                3437,37100						5/2000	3437.4
437	2000	6	                3608,14500						6/2000	3608.1
438	2000	7	                3428,74900						7/2000	3428.7
439	2000	8	                3123,34300						8/2000	3123.3
440	2000	9	                3388,44600						9/2000	3388.4
441	2000	10	                3226,24500						10/2000	3226.2
442	2000	11	                3409,16400						11/2000	3409.2
443	2000	12	                2671,14200						12/2000	2671.1
444	2001	1	                3026,02400						1/2001	3026.0
445	2001	2	                3237,31700						2/2001	3237.3
446	2001	3	                3612,58900						3/2001	3612.6
447	2001	4	                3330,21600						4/2001	3330.2
448	2001	5	                3926,48000						5/2001	3926.5
449	2001	6	                3901,40600						6/2001	3901.4
450	2001	7	                3869,35400						7/2001	3869.4
451	2001	8	                3361,50300						8/2001	3361.5
452	2001	9	                3451,14900						9/2001	3451.1
453	2001	10	                4009,30700						10/2001	4009.3
454	2001	11	                3679,10100						11/2001	3679.1
455	2001	12	                2746,12600						12/2001	2746.1
456	2002	1	                3499,14400						1/2002	3499.1
457	2002	2	                3611,31500						2/2002	3611.3
458	2002	3	                3368,78700						3/2002	3368.8
459	2002	4	                3920,42000						4/2002	3920.4
460	2002	5	                3939,34400						5/2002	3939.3
461	2002	6	                3755,07500						6/2002	3755.1
462	2002	7	                4251,70800						7/2002	4251.7
463	2002	8	                3322,25500						8/2002	3322.3
464	2002	9	                3755,22500						9/2002	3755.2
465	2002	10	                4178,70400						10/2002	4178.7
466	2002	11	                3645,60800						11/2002	3645.6
467	2002	12	                2872,21600						12/2002	2872.2
468	2003	1	                3320,72100						1/2003	3320.7
469	2003	2	                3528,71200						2/2003	3528.7
470	2003	3	                4037,19900						3/2003	4037.2
471	2003	4	                3912,14700						4/2003	3912.1
472	2003	5	                4140,88000						5/2003	4140.9
473	2003	6	                4145,99600						6/2003	4146.0
474	2003	7	                4482,65600						7/2003	4482.7
475	2003	8	                3260,93500						8/2003	3260.9
476	2003	9	                4091,43100						9/2003	4091.4
477	2003	10	                4216,03700						10/2003	4216.0
478	2003	11	                3890,68700						11/2003	3890.7
479	2003	12	                3195,82300						12/2003	3195.8
480	2004	1	                3421,53100						1/2004	3421.5
481	2004	2	                3754,92100						2/2004	3754.9
482	2004	3	                4304,58800						3/2004	4304.6
483	2004	4	                3903,75700						4/2004	3903.8
484	2004	5	                4105,42900						5/2004	4105.4
485	2004	6	                4471,36500						6/2004	4471.4
486	2004	7	                4429,11800						7/2004	4429.1
487	2004	8	                3545,30800						8/2004	3545.3
488	2004	9	                4290,85600						9/2004	4290.9
489	2004	10	                3950,69100						10/2004	3950.7
490	2004	11	                4445,73700						11/2004	4445.7
491	2004	12	                3382,23000						12/2004	3382.2
492	2005	1	                3427,64300						1/2005	3427.6
493	2005	2	                3864,82900						2/2005	3864.8
494	2005	3	                4340,20500						3/2005	4340.2
495	2005	4	                4703,95000						4/2005	4704.0
496	2005	5	                4710,61100						5/2005	4710.6
497	2005	6	                4774,82100						6/2005	4774.8
498	2005	7	                4514,80200						7/2005	4514.8
499	2005	8	                4104,21600						8/2005	4104.2
500	2005	9	                4612,51400						9/2005	4612.5
501	2005	10	                4208,39500						10/2005	4208.4
502	2005	11	                4557,71600						11/2005	4557.7
503	2005	12	                3689,93500						12/2005	3689.9
504	2006	1	                3957,43200						1/2006	3957.4
505	2006	2	                4365,15000						2/2006	4365.2
506	2006	3	                5296,02500						3/2006	5296.0
507	2006	4	                4286,77200						4/2006	4286.8
508	2006	5	                5179,23000						5/2006	5179.2
509	2006	6	                5288,58200						6/2006	5288.6
510	2006	7	                4937,42400						7/2006	4937.4
511	2006	8	                4362,32700						8/2006	4362.3
512	2006	9	                4691,00700						9/2006	4691.0
513	2006	10	                4761,77000						10/2006	4761.8
514	2006	11	                4883,06200						11/2006	4883.1
515	2006	12	                3887,60700						12/2006	3887.6
516	2007	1	                4541,84200						1/2007	4541.8
517	2007	2	                4535,94700						2/2007	4535.9
518	2007	3	                5261,76600						3/2007	5261.8
519	2007	4	                4406,00200						4/2007	4406.0
520	2007	5	                5071,62900						5/2007	5071.6
521	2007	6	                5069,44100						6/2007	5069.4
522	2007	7	                5130,63900						7/2007	5130.6
523	2007	8	                4264,65300						8/2007	4264.7
524	2007	9	                4445,68800						9/2007	4445.7
525	2007	10	                4967,34800						10/2007	4967.3
526	2007	11	                4857,85300						11/2007	4857.9
527	2007	12	                3444,26300						12/2007	3444.3
528	2008	1	                4189,53900						1/2008	4189.5
529	2008	2	                4306,24400						2/2008	4306.2
530	2008	3	                3934,06700						3/2008	3934.1
531	2008	4	                4308,70800						4/2008	4308.7
532	2008	5	                4002,22900						5/2008	4002.2
533	2008	6	                3392,00800						6/2008	3392.0
534	2008	7	                4036,81400						7/2008	4036.8
535	2008	8	                2962,19600						8/2008	2962.2
536	2008	9	                3351,97000						9/2008	3352.0
537	2008	10	                3272,61300						10/2008	3272.6
538	2008	11	                2860,49200						11/2008	2860.5
539	2008	12	                2078,65600						12/2008	2078.7
540	2009	1	                1867,49900						1/2009	1867.5
541	2009	2	                2285,98400						2/2009	2286.0
542	2009	3	                2543,67600						3/2009	2543.7
543	2009	4	                2355,48500						4/2009	2355.5
544	2009	5	                2506,83600						5/2009	2506.8
545	2009	6	                2728,98000						6/2009	2729.0
546	2009	7	                2854,36300						7/2009	2854.4
547	2009	8	                2388,96000						8/2009	2389.0
548	2009	9	                2628,37700						9/2009	2628.4
549	2009	10	                2563,05700						10/2009	2563.1
550	2009	11	                2559,87400						11/2009	2559.9
551	2009	12	                1630,05700						12/2009	1630.1
552	2010	1	                1487,37400						1/2010	1487.4
553	2010	2	                1700,13600						2/2010	1700.1
554	2010	3	                2126,14600						3/2010	2126.1
555	2010	4	                2140,80300						4/2010	2140.8
556	2010	5	                2324,43200						5/2010	2324.4
557	2010	6	                2436,45200						6/2010	2436.5
558	2010	7	                2421,20300						7/2010	2421.2
559	2010	8	                2080,41900						8/2010	2080.4
560	2010	9	                2151,61500						9/2010	2151.6
561	2010	10	                2086,16400						10/2010	2086.2
562	2010	11	                1994,81700						11/2010	1994.8
563	2010	12	                1506,45100						12/2010	1506.5
564	2011	1	                1499,07900						1/2011	1499.1
565	2011	2	                1762,77600						2/2011	1762.8
566	2011	3	                2060,00000						3/2011	2060.0
567	2011	4	                1823,90900						4/2011	1823.9
568	2011	5	                2008,56500						5/2011	2008.6
569	2011	6	                1875,76000						6/2011	1875.8
570	2011	7	                1812,97900						7/2011	1813.0
571	2011	8	                1700,79800						8/2011	1700.8
572	2011	9	                1686,61800						9/2011	1686.6
573	2011	10	                1513,45800						10/2011	1513.5
574	2011	11	                1490,78400						11/2011	1490.8
