	annus	mes	observaciones	codigo	 titulo	 unidad	 fuente	 notas	fecha	valor
119	2013	12	                2786,00000						12/2013	2786.0
120	2014	1	                2556,00000						1/2014	2556.0
121	2014	2	                4326,00000						2/2014	4326.0
122	2014	3	                2342,00000						3/2014	2342.0
123	2014	4	                2662,00000						4/2014	2662.0
124	2014	5	                2937,00000						5/2014	2937.0
125	2014	6	                4436,00000						6/2014	4436.0
126	2014	7	                2974,00000						7/2014	2974.0
127	2014	8	                3403,00000						8/2014	3403.0
128	2014	9	                3154,00000						9/2014	3154.0
129	2014	10	                3782,00000						10/2014	3782.0
130	2014	11	                2096,00000						11/2014	2096.0
131	2014	12	                3350,00000						12/2014	3350.0
132	2015	1	                3885,00000						1/2015	3885.0
133	2015	2	                3051,00000						2/2015	3051.0
134	2015	3	                3862,00000						3/2015	3862.0
135	2015	4	                3456,00000						4/2015	3456.0
136	2015	5	                3958,00000						5/2015	3958.0
137	2015	6	                5364,00000						6/2015	5364.0
138	2015	7	                3898,00000						7/2015	3898.0
139	2015	8	                3540,00000						8/2015	3540.0
140	2015	9	                5602,00000						9/2015	5602.0
141	2015	10	                5833,00000						10/2015	5833.0
142	2015	11	                3120,00000						11/2015	3120.0
143	2015	12	                4416,00000						12/2015	4416.0
144	2016	1	                4462,00000						1/2016	4462.0
145	2016	2	                6310,00000						2/2016	6310.0
146	2016	3	                6776,00000						3/2016	6776.0
147	2016	4	                3874,00000						4/2016	3874.0
148	2016	5	                6108,00000						5/2016	6108.0
149	2016	6	                6646,00000						6/2016	6646.0
150	2016	7	                4379,00000						7/2016	4379.0
151	2016	8	                4526,00000						8/2016	4526.0
152	2016	9	                5146,00000						9/2016	5146.0
153	2016	10	                7511,00000						10/2016	7511.0
154	2016	11	                3639,00000						11/2016	3639.0
155	2016	12	                6578,00000						12/2016	6578.0
156	2017	1	                6406,00000						1/2017	6406.0
157	2017	2	                6888,00000						2/2017	6888.0
158	2017	3	                6187,00000						3/2017	6187.0
159	2017	4	                6815,00000						4/2017	6815.0
160	2017	5	                7812,00000						5/2017	7812.0
161	2017	6	                7398,00000						6/2017	7398.0
162	2017	7	                6729,00000						7/2017	6729.0
163	2017	8	                6799,00000						8/2017	6799.0
164	2017	9	                6509,00000						9/2017	6509.0
165	2017	10	                7582,00000						10/2017	7582.0
166	2017	11	                6463,00000						11/2017	6463.0
167	2017	12	                5884,00000						12/2017	5884.0
168	2018	1	                7763,00000						1/2018	7763.0
169	2018	2	                7798,00000						2/2018	7798.0
170	2018	3	                9133,00000						3/2018	9133.0
171	2018	4	                7145,00000						4/2018	7145.0
172	2018	5	               10096,00000						5/2018	10096.0
173	2018	6	               10253,00000						6/2018	10253.0
174	2018	7	               11651,00000						7/2018	11651.0
175	2018	8	                6217,00000						8/2018	6217.0
176	2018	9	                7322,00000						9/2018	7322.0
177	2018	10	                9253,00000						10/2018	9253.0
178	2018	11	                9359,00000						11/2018	9359.0
179	2018	12	                7390,00000						12/2018	7390.0
180	2019	1	                9460,00000						1/2019	9460.0
181	2019	2	                9180,00000						2/2019	9180.0
182	2019	3	               10115,00000						3/2019	10115.0
183	2019	4	                9452,00000						4/2019	9452.0
184	2019	5	                8229,00000						5/2019	8229.0
185	2019	6	               11367,00000						6/2019	11367.0
186	2019	7	                8901,00000						7/2019	8901.0
187	2019	8	                8004,00000						8/2019	8004.0
188	2019	9	                8237,00000						9/2019	8237.0
189	2019	10	               10058,00000						10/2019	10058.0
190	2019	11	                7799,00000						11/2019	7799.0
191	2019	12	                7766,00000						12/2019	7766.0
192	2020	1	                7461,00000						1/2020	7461.0
193	2020	2	                9203,00000						2/2020	9203.0
194	2020	3	                8827,00000						3/2020	8827.0
195	2020	4	                5444,00000						4/2020	5444.0
196	2020	5	                6110,00000						5/2020	6110.0
197	2020	6	                7770,00000						6/2020	7770.0
198	2020	7	                7288,00000						7/2020	7288.0
199	2020	8	                5682,00000						8/2020	5682.0
200	2020	9	                6825,00000						9/2020	6825.0
201	2020	10	                8233,00000						10/2020	8233.0
202	2020	11	                6472,00000						11/2020	6472.0
203	2020	12	                8592,00000						12/2020	8592.0
204	2021	1	                9047,00000						1/2021	9047.0
205	2021	2	                8400,00000						2/2021	8400.0
206	2021	3	                8837,00000						3/2021	8837.0
207	2021	4	                6795,00000						4/2021	6795.0
208	2021	5	                9208,00000						5/2021	9208.0
209	2021	6	               12174,00000						6/2021	12174.0
210	2021	7	                9557,00000						7/2021	9557.0
211	2021	8	                9407,00000						8/2021	9407.0
212	2021	9	               10385,00000						9/2021	10385.0
213	2021	10	               12946,00000						10/2021	12946.0
214	2021	11	                7556,00000						11/2021	7556.0
215	2021	12	                9981,00000						12/2021	9981.0
216	2022	1	                9014,00000						1/2022	9014.0
217	2022	2	               10406,00000						2/2022	10406.0
218	2022	3	               10415,00000						3/2022	10415.0
219	2022	4	                5893,00000						4/2022	5893.0
220	2022	5	                7614,00000						5/2022	7614.0
221	2022	6	               10103,00000						6/2022	10103.0
222	2022	7	                6886,00000						7/2022	6886.0
223	2022	8	                8762,00000						8/2022	8762.0
224	2022	9	                9992,00000						9/2022	9992.0
225	2022	10	               11478,00000						10/2022	11478.0
226	2022	11	                7603,00000						11/2022	7603.0
227	2022	12	               11852,00000						12/2022	11852.0
228	2023	1	                9771,00000						1/2023	9771.0
229	2023	2	               10342,00000						2/2023	10342.0
230	2023	3	                8987,00000						3/2023	8987.0
231	2023	4	                7081,00000						4/2023	7081.0
232	2023	5	                9526,00000						5/2023	9526.0
233	2023	6	               10565,00000						6/2023	10565.0
234	2023	7	                7068,00000						7/2023	7068.0
235	2023	8	                8291,00000						8/2023	8291.0
236	2023	9	               10364,00000						9/2023	10364.0
237	2023	10	               11494,00000						10/2023	11494.0
238	2023	11	                7461,00000						11/2023	7461.0
239	2023	12	                9329,00000						12/2023	9329.0
240	2024	1	                8409,00000						1/2024	8409.0
241	2024	2	               10216,00000						2/2024	10216.0
242	2024	3	                8106,00000						3/2024	8106.0
243	0	0							0/0	
